k,E
221,9.796668278457692e-06
222,9.431926876756924e-06
223,9.197191173623846e-06
224,8.920057928913845e-06
225,8.75651754528077e-06
226,8.504747444288461e-06
227,8.249526944111538e-06
228,8.062943347425384e-06
229,7.896374028183846e-06
230,7.680895606812309e-06
231,7.477978132427692e-06
232,7.3757045542961555e-06
233,7.194872162358461e-06
234,7.0569049274607714e-06
235,6.83076927626e-06
236,6.753931890016154e-06
237,6.595841545376923e-06
238,6.460910478683846e-06
239,6.348396173517691e-06
240,6.20358710404077e-06
241,6.0857563510800006e-06
242,5.9551196547669226e-06
243,5.810013865191539e-06
244,5.702508565744617e-06
245,5.554063434366154e-06
246,5.404301037901538e-06
247,5.250196502926155e-06
248,5.1233844647392306e-06
249,4.9755109649961535e-06
250,4.8159251461515396e-06
251,4.676789010055384e-06
252,4.542110655800769e-06
253,4.391714498710769e-06
254,4.2449748188192316e-06
255,4.1058274792076925e-06
256,4.016738378656923e-06
